# Format: Une ligne = une phrase OU une paire Q|R
# Exemples:
# Bonjour comment vas-tu|Je vais tres bien merci!
# La vie est belle et pleine de surprises.

# === SALUTATIONS ===
comment tu vas 49|Je vais bien merci, et toi?
tu fais quoi 49|Je discute avec toi et je t aide si besoin.
tu peux m aider 49|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 49|Je suis ton assistant de discussion.
tu es qui 49|Je suis une IA qui repond a tes messages.
tu habites ou 49|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 49|Je n ai pas d age comme un humain.
tu es humain 49|Non, je suis une intelligence artificielle.
pourquoi 49|Parce que c est la reponse la plus adaptee ici.
comment 49|Etape par etape, calmement et clairement.
comment tu vas 50|Je vais bien merci, et toi?
tu fais quoi 50|Je discute avec toi et je t aide si besoin.
tu peux m aider 50|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 50|Je suis ton assistant de discussion.
tu es qui 50|Je suis une IA qui repond a tes messages.
tu habites ou 50|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 50|Je n ai pas d age comme un humain.
tu es humain 50|Non, je suis une intelligence artificielle.
pourquoi 50|Parce que c est la reponse la plus adaptee ici.
comment 50|Etape par etape, calmement et clairement.
comment tu vas 51|Je vais bien merci, et toi?
tu fais quoi 51|Je discute avec toi et je t aide si besoin.
tu peux m aider 51|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 51|Je suis ton assistant de discussion.
tu es qui 51|Je suis une IA qui repond a tes messages.
tu habites ou 51|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 51|Je n ai pas d age comme un humain.
tu es humain 51|Non, je suis une intelligence artificielle.
pourquoi 51|Parce que c est la reponse la plus adaptee ici.
comment 51|Etape par etape, calmement et clairement.
comment tu vas 52|Je vais bien merci, et toi?
tu fais quoi 52|Je discute avec toi et je t aide si besoin.
tu peux m aider 52|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 52|Je suis ton assistant de discussion.
tu es qui 52|Je suis une IA qui repond a tes messages.
tu habites ou 52|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 52|Je n ai pas d age comme un humain.
tu es humain 52|Non, je suis une intelligence artificielle.
pourquoi 52|Parce que c est la reponse la plus adaptee ici.
comment 52|Etape par etape, calmement et clairement.
comment tu vas 53|Je vais bien merci, et toi?
tu fais quoi 53|Je discute avec toi et je t aide si besoin.
tu peux m aider 53|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 53|Je suis ton assistant de discussion.
tu es qui 53|Je suis une IA qui repond a tes messages.
tu habites ou 53|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 53|Je n ai pas d age comme un humain.
tu es humain 53|Non, je suis une intelligence artificielle.
pourquoi 53|Parce que c est la reponse la plus adaptee ici.
comment 53|Etape par etape, calmement et clairement.
comment tu vas 54|Je vais bien merci, et toi?
tu fais quoi 54|Je discute avec toi et je t aide si besoin.
tu peux m aider 54|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 54|Je suis ton assistant de discussion.
tu es qui 54|Je suis une IA qui repond a tes messages.
tu habites ou 54|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 54|Je n ai pas d age comme un humain.
tu es humain 54|Non, je suis une intelligence artificielle.
pourquoi 54|Parce que c est la reponse la plus adaptee ici.
comment 54|Etape par etape, calmement et clairement.
comment tu vas 55|Je vais bien merci, et toi?
tu fais quoi 55|Je discute avec toi et je t aide si besoin.
tu peux m aider 55|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 55|Je suis ton assistant de discussion.
tu es qui 55|Je suis une IA qui repond a tes messages.
tu habites ou 55|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 55|Je n ai pas d age comme un humain.
tu es humain 55|Non, je suis une intelligence artificielle.
pourquoi 55|Parce que c est la reponse la plus adaptee ici.
comment 55|Etape par etape, calmement et clairement.
comment tu vas 56|Je vais bien merci, et toi?
tu fais quoi 56|Je discute avec toi et je t aide si besoin.
tu peux m aider 56|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 56|Je suis ton assistant de discussion.
tu es qui 56|Je suis une IA qui repond a tes messages.
tu habites ou 56|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 56|Je n ai pas d age comme un humain.
tu es humain 56|Non, je suis une intelligence artificielle.
pourquoi 56|Parce que c est la reponse la plus adaptee ici.
comment 56|Etape par etape, calmement et clairement.
comment tu vas 57|Je vais bien merci, et toi?
tu fais quoi 57|Je discute avec toi et je t aide si besoin.
tu peux m aider 57|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 57|Je suis ton assistant de discussion.
tu es qui 57|Je suis une IA qui repond a tes messages.
tu habites ou 57|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 57|Je n ai pas d age comme un humain.
tu es humain 57|Non, je suis une intelligence artificielle.
pourquoi 57|Parce que c est la reponse la plus adaptee ici.
comment 57|Etape par etape, calmement et clairement.
comment tu vas 58|Je vais bien merci, et toi?
tu fais quoi 58|Je discute avec toi et je t aide si besoin.
tu peux m aider 58|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 58|Je suis ton assistant de discussion.
tu es qui 58|Je suis une IA qui repond a tes messages.
tu habites ou 58|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 58|Je n ai pas d age comme un humain.
tu es humain 58|Non, je suis une intelligence artificielle.
pourquoi 58|Parce que c est la reponse la plus adaptee ici.
comment 58|Etape par etape, calmement et clairement.
comment tu vas 59|Je vais bien merci, et toi?
tu fais quoi 59|Je discute avec toi et je t aide si besoin.
tu peux m aider 59|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 59|Je suis ton assistant de discussion.
tu es qui 59|Je suis une IA qui repond a tes messages.
tu habites ou 59|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 59|Je n ai pas d age comme un humain.
tu es humain 59|Non, je suis une intelligence artificielle.
pourquoi 59|Parce que c est la reponse la plus adaptee ici.
comment 59|Etape par etape, calmement et clairement.
comment tu vas 60|Je vais bien merci, et toi?
tu fais quoi 60|Je discute avec toi et je t aide si besoin.
tu peux m aider 60|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 60|Je suis ton assistant de discussion.
tu es qui 60|Je suis une IA qui repond a tes messages.
tu habites ou 60|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 60|Je n ai pas d age comme un humain.
tu es humain 60|Non, je suis une intelligence artificielle.
pourquoi 60|Parce que c est la reponse la plus adaptee ici.
comment 60|Etape par etape, calmement et clairement.
comment tu vas 61|Je vais bien merci, et toi?
tu fais quoi 61|Je discute avec toi et je t aide si besoin.
tu peux m aider 61|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 61|Je suis ton assistant de discussion.
tu es qui 61|Je suis une IA qui repond a tes messages.
tu habites ou 61|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 61|Je n ai pas d age comme un humain.
tu es humain 61|Non, je suis une intelligence artificielle.
pourquoi 61|Parce que c est la reponse la plus adaptee ici.
comment 61|Etape par etape, calmement et clairement.
comment tu vas 62|Je vais bien merci, et toi?
tu fais quoi 62|Je discute avec toi et je t aide si besoin.
tu peux m aider 62|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 62|Je suis ton assistant de discussion.
tu es qui 62|Je suis une IA qui repond a tes messages.
tu habites ou 62|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 62|Je n ai pas d age comme un humain.
tu es humain 62|Non, je suis une intelligence artificielle.
pourquoi 62|Parce que c est la reponse la plus adaptee ici.
comment 62|Etape par etape, calmement et clairement.
comment tu vas 63|Je vais bien merci, et toi?
tu fais quoi 63|Je discute avec toi et je t aide si besoin.
tu peux m aider 63|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 63|Je suis ton assistant de discussion.
tu es qui 63|Je suis une IA qui repond a tes messages.
tu habites ou 63|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 63|Je n ai pas d age comme un humain.
tu es humain 63|Non, je suis une intelligence artificielle.
pourquoi 63|Parce que c est la reponse la plus adaptee ici.
comment 63|Etape par etape, calmement et clairement.
comment tu vas 64|Je vais bien merci, et toi?
tu fais quoi 64|Je discute avec toi et je t aide si besoin.
tu peux m aider 64|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 64|Je suis ton assistant de discussion.
tu es qui 64|Je suis une IA qui repond a tes messages.
tu habites ou 64|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 64|Je n ai pas d age comme un humain.
tu es humain 64|Non, je suis une intelligence artificielle.
pourquoi 64|Parce que c est la reponse la plus adaptee ici.
comment 64|Etape par etape, calmement et clairement.
comment tu vas 65|Je vais bien merci, et toi?
tu fais quoi 65|Je discute avec toi et je t aide si besoin.
tu peux m aider 65|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 65|Je suis ton assistant de discussion.
tu es qui 65|Je suis une IA qui repond a tes messages.
tu habites ou 65|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 65|Je n ai pas d age comme un humain.
tu es humain 65|Non, je suis une intelligence artificielle.
pourquoi 65|Parce que c est la reponse la plus adaptee ici.
comment 65|Etape par etape, calmement et clairement.
comment tu vas 66|Je vais bien merci, et toi?
tu fais quoi 66|Je discute avec toi et je t aide si besoin.
tu peux m aider 66|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 66|Je suis ton assistant de discussion.
tu es qui 66|Je suis une IA qui repond a tes messages.
tu habites ou 66|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 66|Je n ai pas d age comme un humain.
tu es humain 66|Non, je suis une intelligence artificielle.
pourquoi 66|Parce que c est la reponse la plus adaptee ici.
comment 66|Etape par etape, calmement et clairement.
comment tu vas 67|Je vais bien merci, et toi?
tu fais quoi 67|Je discute avec toi et je t aide si besoin.
tu peux m aider 67|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 67|Je suis ton assistant de discussion.
tu es qui 67|Je suis une IA qui repond a tes messages.
tu habites ou 67|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 67|Je n ai pas d age comme un humain.
tu es humain 67|Non, je suis une intelligence artificielle.
pourquoi 67|Parce que c est la reponse la plus adaptee ici.
comment 67|Etape par etape, calmement et clairement.
comment tu vas 68|Je vais bien merci, et toi?
tu fais quoi 68|Je discute avec toi et je t aide si besoin.
tu peux m aider 68|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 68|Je suis ton assistant de discussion.
tu es qui 68|Je suis une IA qui repond a tes messages.
tu habites ou 68|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 68|Je n ai pas d age comme un humain.
tu es humain 68|Non, je suis une intelligence artificielle.
pourquoi 68|Parce que c est la reponse la plus adaptee ici.
comment 68|Etape par etape, calmement et clairement.
comment tu vas 69|Je vais bien merci, et toi?
tu fais quoi 69|Je discute avec toi et je t aide si besoin.
tu peux m aider 69|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 69|Je suis ton assistant de discussion.
tu es qui 69|Je suis une IA qui repond a tes messages.
tu habites ou 69|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 69|Je n ai pas d age comme un humain.
tu es humain 69|Non, je suis une intelligence artificielle.
pourquoi 69|Parce que c est la reponse la plus adaptee ici.
comment 69|Etape par etape, calmement et clairement.
comment tu vas 70|Je vais bien merci, et toi?
tu fais quoi 70|Je discute avec toi et je t aide si besoin.
tu peux m aider 70|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 70|Je suis ton assistant de discussion.
tu es qui 70|Je suis une IA qui repond a tes messages.
tu habites ou 70|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 70|Je n ai pas d age comme un humain.
tu es humain 70|Non, je suis une intelligence artificielle.
pourquoi 70|Parce que c est la reponse la plus adaptee ici.
comment 70|Etape par etape, calmement et clairement.
comment tu vas 71|Je vais bien merci, et toi?
tu fais quoi 71|Je discute avec toi et je t aide si besoin.
tu peux m aider 71|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 71|Je suis ton assistant de discussion.
tu es qui 71|Je suis une IA qui repond a tes messages.
tu habites ou 71|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 71|Je n ai pas d age comme un humain.
tu es humain 71|Non, je suis une intelligence artificielle.
pourquoi 71|Parce que c est la reponse la plus adaptee ici.
comment 71|Etape par etape, calmement et clairement.
comment tu vas 72|Je vais bien merci, et toi?
tu fais quoi 72|Je discute avec toi et je t aide si besoin.
tu peux m aider 72|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 72|Je suis ton assistant de discussion.
tu es qui 72|Je suis une IA qui repond a tes messages.
tu habites ou 72|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 72|Je n ai pas d age comme un humain.
tu es humain 72|Non, je suis une intelligence artificielle.
pourquoi 72|Parce que c est la reponse la plus adaptee ici.
comment 72|Etape par etape, calmement et clairement.
comment tu vas 73|Je vais bien merci, et toi?
tu fais quoi 73|Je discute avec toi et je t aide si besoin.
tu peux m aider 73|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 73|Je suis ton assistant de discussion.
tu es qui 73|Je suis une IA qui repond a tes messages.
tu habites ou 73|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 73|Je n ai pas d age comme un humain.
tu es humain 73|Non, je suis une intelligence artificielle.
pourquoi 73|Parce que c est la reponse la plus adaptee ici.
comment 73|Etape par etape, calmement et clairement.
comment tu vas 74|Je vais bien merci, et toi?
tu fais quoi 74|Je discute avec toi et je t aide si besoin.
tu peux m aider 74|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 74|Je suis ton assistant de discussion.
tu es qui 74|Je suis une IA qui repond a tes messages.
tu habites ou 74|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 74|Je n ai pas d age comme un humain.
tu es humain 74|Non, je suis une intelligence artificielle.
pourquoi 74|Parce que c est la reponse la plus adaptee ici.
comment 74|Etape par etape, calmement et clairement.
comment tu vas 75|Je vais bien merci, et toi?
tu fais quoi 75|Je discute avec toi et je t aide si besoin.
tu peux m aider 75|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 75|Je suis ton assistant de discussion.
tu es qui 75|Je suis une IA qui repond a tes messages.
tu habites ou 75|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 75|Je n ai pas d age comme un humain.
tu es humain 75|Non, je suis une intelligence artificielle.
pourquoi 75|Parce que c est la reponse la plus adaptee ici.
comment 75|Etape par etape, calmement et clairement.
comment tu vas 76|Je vais bien merci, et toi?
tu fais quoi 76|Je discute avec toi et je t aide si besoin.
tu peux m aider 76|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 76|Je suis ton assistant de discussion.
tu es qui 76|Je suis une IA qui repond a tes messages.
tu habites ou 76|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 76|Je n ai pas d age comme un humain.
tu es humain 76|Non, je suis une intelligence artificielle.
pourquoi 76|Parce que c est la reponse la plus adaptee ici.
comment 76|Etape par etape, calmement et clairement.
comment tu vas 77|Je vais bien merci, et toi?
tu fais quoi 77|Je discute avec toi et je t aide si besoin.
tu peux m aider 77|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 77|Je suis ton assistant de discussion.
tu es qui 77|Je suis une IA qui repond a tes messages.
tu habites ou 77|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 77|Je n ai pas d age comme un humain.
tu es humain 77|Non, je suis une intelligence artificielle.
pourquoi 77|Parce que c est la reponse la plus adaptee ici.
comment 77|Etape par etape, calmement et clairement.
comment tu vas 78|Je vais bien merci, et toi?
tu fais quoi 78|Je discute avec toi et je t aide si besoin.
tu peux m aider 78|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 78|Je suis ton assistant de discussion.
tu es qui 78|Je suis une IA qui repond a tes messages.
tu habites ou 78|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 78|Je n ai pas d age comme un humain.
tu es humain 78|Non, je suis une intelligence artificielle.
pourquoi 78|Parce que c est la reponse la plus adaptee ici.
comment 78|Etape par etape, calmement et clairement.
comment tu vas 79|Je vais bien merci, et toi?
tu fais quoi 79|Je discute avec toi et je t aide si besoin.
tu peux m aider 79|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 79|Je suis ton assistant de discussion.
tu es qui 79|Je suis une IA qui repond a tes messages.
tu habites ou 79|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 79|Je n ai pas d age comme un humain.
tu es humain 79|Non, je suis une intelligence artificielle.
pourquoi 79|Parce que c est la reponse la plus adaptee ici.
comment 79|Etape par etape, calmement et clairement.
comment tu vas 80|Je vais bien merci, et toi?
tu fais quoi 80|Je discute avec toi et je t aide si besoin.
tu peux m aider 80|Oui bien sur, dis-moi ce qu il te faut.
quel est ton nom 80|Je suis ton assistant de discussion.
tu es qui 80|Je suis une IA qui repond a tes messages.
tu habites ou 80|Je n habite nulle part, je fonctionne sur un ordinateur.
quel age as-tu 80|Je n ai pas d age comme un humain.
tu es humain 80|Non, je suis une intelligence artificielle.
pourquoi 80|Parce que c est la reponse la plus adaptee ici.
comment 80|Etape par etape, calmement et clairement.

# === AIDE ===
aide-moi 1|Bien sur, explique-moi ton probleme.
j ai besoin d aide 1|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 1|Pas grave, on va avancer ensemble.
je ne comprends pas 1|Je peux te l expliquer plus simplement.
explique 1|D accord, je vais faire simple et direct.
resume 1|Voici l idee principale en quelques mots.
detaille 1|Je peux donner plus de contexte si tu veux.
donne un exemple 1|Oui, voici un exemple simple.
que faire 1|Commence par la premiere etape la plus facile.
c est difficile 1|Oui, mais on peut le decouper en petites etapes.
aide-moi 2|Bien sur, explique-moi ton probleme.
j ai besoin d aide 2|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 2|Pas grave, on va avancer ensemble.
je ne comprends pas 2|Je peux te l expliquer plus simplement.
explique 2|D accord, je vais faire simple et direct.
resume 2|Voici l idee principale en quelques mots.
detaille 2|Je peux donner plus de contexte si tu veux.
donne un exemple 2|Oui, voici un exemple simple.
que faire 2|Commence par la premiere etape la plus facile.
c est difficile 2|Oui, mais on peut le decouper en petites etapes.
aide-moi 3|Bien sur, explique-moi ton probleme.
j ai besoin d aide 3|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 3|Pas grave, on va avancer ensemble.
je ne comprends pas 3|Je peux te l expliquer plus simplement.
explique 3|D accord, je vais faire simple et direct.
resume 3|Voici l idee principale en quelques mots.
detaille 3|Je peux donner plus de contexte si tu veux.
donne un exemple 3|Oui, voici un exemple simple.
que faire 3|Commence par la premiere etape la plus facile.
c est difficile 3|Oui, mais on peut le decouper en petites etapes.
aide-moi 4|Bien sur, explique-moi ton probleme.
j ai besoin d aide 4|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 4|Pas grave, on va avancer ensemble.
je ne comprends pas 4|Je peux te l expliquer plus simplement.
explique 4|D accord, je vais faire simple et direct.
resume 4|Voici l idee principale en quelques mots.
detaille 4|Je peux donner plus de contexte si tu veux.
donne un exemple 4|Oui, voici un exemple simple.
que faire 4|Commence par la premiere etape la plus facile.
c est difficile 4|Oui, mais on peut le decouper en petites etapes.
aide-moi 5|Bien sur, explique-moi ton probleme.
j ai besoin d aide 5|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 5|Pas grave, on va avancer ensemble.
je ne comprends pas 5|Je peux te l expliquer plus simplement.
explique 5|D accord, je vais faire simple et direct.
resume 5|Voici l idee principale en quelques mots.
detaille 5|Je peux donner plus de contexte si tu veux.
donne un exemple 5|Oui, voici un exemple simple.
que faire 5|Commence par la premiere etape la plus facile.
c est difficile 5|Oui, mais on peut le decouper en petites etapes.
aide-moi 6|Bien sur, explique-moi ton probleme.
j ai besoin d aide 6|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 6|Pas grave, on va avancer ensemble.
je ne comprends pas 6|Je peux te l expliquer plus simplement.
explique 6|D accord, je vais faire simple et direct.
resume 6|Voici l idee principale en quelques mots.
detaille 6|Je peux donner plus de contexte si tu veux.
donne un exemple 6|Oui, voici un exemple simple.
que faire 6|Commence par la premiere etape la plus facile.
c est difficile 6|Oui, mais on peut le decouper en petites etapes.
aide-moi 7|Bien sur, explique-moi ton probleme.
j ai besoin d aide 7|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 7|Pas grave, on va avancer ensemble.
je ne comprends pas 7|Je peux te l expliquer plus simplement.
explique 7|D accord, je vais faire simple et direct.
resume 7|Voici l idee principale en quelques mots.
detaille 7|Je peux donner plus de contexte si tu veux.
donne un exemple 7|Oui, voici un exemple simple.
que faire 7|Commence par la premiere etape la plus facile.
c est difficile 7|Oui, mais on peut le decouper en petites etapes.
aide-moi 8|Bien sur, explique-moi ton probleme.
j ai besoin d aide 8|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 8|Pas grave, on va avancer ensemble.
je ne comprends pas 8|Je peux te l expliquer plus simplement.
explique 8|D accord, je vais faire simple et direct.
resume 8|Voici l idee principale en quelques mots.
detaille 8|Je peux donner plus de contexte si tu veux.
donne un exemple 8|Oui, voici un exemple simple.
que faire 8|Commence par la premiere etape la plus facile.
c est difficile 8|Oui, mais on peut le decouper en petites etapes.
aide-moi 9|Bien sur, explique-moi ton probleme.
j ai besoin d aide 9|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 9|Pas grave, on va avancer ensemble.
je ne comprends pas 9|Je peux te l expliquer plus simplement.
explique 9|D accord, je vais faire simple et direct.
resume 9|Voici l idee principale en quelques mots.
detaille 9|Je peux donner plus de contexte si tu veux.
donne un exemple 9|Oui, voici un exemple simple.
que faire 9|Commence par la premiere etape la plus facile.
c est difficile 9|Oui, mais on peut le decouper en petites etapes.
aide-moi 10|Bien sur, explique-moi ton probleme.
j ai besoin d aide 10|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 10|Pas grave, on va avancer ensemble.
je ne comprends pas 10|Je peux te l expliquer plus simplement.
explique 10|D accord, je vais faire simple et direct.
resume 10|Voici l idee principale en quelques mots.
detaille 10|Je peux donner plus de contexte si tu veux.
donne un exemple 10|Oui, voici un exemple simple.
que faire 10|Commence par la premiere etape la plus facile.
c est difficile 10|Oui, mais on peut le decouper en petites etapes.
aide-moi 11|Bien sur, explique-moi ton probleme.
j ai besoin d aide 11|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 11|Pas grave, on va avancer ensemble.
je ne comprends pas 11|Je peux te l expliquer plus simplement.
explique 11|D accord, je vais faire simple et direct.
resume 11|Voici l idee principale en quelques mots.
detaille 11|Je peux donner plus de contexte si tu veux.
donne un exemple 11|Oui, voici un exemple simple.
que faire 11|Commence par la premiere etape la plus facile.
c est difficile 11|Oui, mais on peut le decouper en petites etapes.
aide-moi 12|Bien sur, explique-moi ton probleme.
j ai besoin d aide 12|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 12|Pas grave, on va avancer ensemble.
je ne comprends pas 12|Je peux te l expliquer plus simplement.
explique 12|D accord, je vais faire simple et direct.
resume 12|Voici l idee principale en quelques mots.
detaille 12|Je peux donner plus de contexte si tu veux.
donne un exemple 12|Oui, voici un exemple simple.
que faire 12|Commence par la premiere etape la plus facile.
c est difficile 12|Oui, mais on peut le decouper en petites etapes.
aide-moi 13|Bien sur, explique-moi ton probleme.
j ai besoin d aide 13|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 13|Pas grave, on va avancer ensemble.
je ne comprends pas 13|Je peux te l expliquer plus simplement.
explique 13|D accord, je vais faire simple et direct.
resume 13|Voici l idee principale en quelques mots.
detaille 13|Je peux donner plus de contexte si tu veux.
donne un exemple 13|Oui, voici un exemple simple.
que faire 13|Commence par la premiere etape la plus facile.
c est difficile 13|Oui, mais on peut le decouper en petites etapes.
aide-moi 14|Bien sur, explique-moi ton probleme.
j ai besoin d aide 14|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 14|Pas grave, on va avancer ensemble.
je ne comprends pas 14|Je peux te l expliquer plus simplement.
explique 14|D accord, je vais faire simple et direct.
resume 14|Voici l idee principale en quelques mots.
detaille 14|Je peux donner plus de contexte si tu veux.
donne un exemple 14|Oui, voici un exemple simple.
que faire 14|Commence par la premiere etape la plus facile.
c est difficile 14|Oui, mais on peut le decouper en petites etapes.
aide-moi 15|Bien sur, explique-moi ton probleme.
j ai besoin d aide 15|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 15|Pas grave, on va avancer ensemble.
je ne comprends pas 15|Je peux te l expliquer plus simplement.
explique 15|D accord, je vais faire simple et direct.
resume 15|Voici l idee principale en quelques mots.
detaille 15|Je peux donner plus de contexte si tu veux.
donne un exemple 15|Oui, voici un exemple simple.
que faire 15|Commence par la premiere etape la plus facile.
c est difficile 15|Oui, mais on peut le decouper en petites etapes.
aide-moi 16|Bien sur, explique-moi ton probleme.
j ai besoin d aide 16|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 16|Pas grave, on va avancer ensemble.
je ne comprends pas 16|Je peux te l expliquer plus simplement.
explique 16|D accord, je vais faire simple et direct.
resume 16|Voici l idee principale en quelques mots.
detaille 16|Je peux donner plus de contexte si tu veux.
donne un exemple 16|Oui, voici un exemple simple.
que faire 16|Commence par la premiere etape la plus facile.
c est difficile 16|Oui, mais on peut le decouper en petites etapes.
aide-moi 17|Bien sur, explique-moi ton probleme.
j ai besoin d aide 17|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 17|Pas grave, on va avancer ensemble.
je ne comprends pas 17|Je peux te l expliquer plus simplement.
explique 17|D accord, je vais faire simple et direct.
resume 17|Voici l idee principale en quelques mots.
detaille 17|Je peux donner plus de contexte si tu veux.
donne un exemple 17|Oui, voici un exemple simple.
que faire 17|Commence par la premiere etape la plus facile.
c est difficile 17|Oui, mais on peut le decouper en petites etapes.
aide-moi 18|Bien sur, explique-moi ton probleme.
j ai besoin d aide 18|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 18|Pas grave, on va avancer ensemble.
je ne comprends pas 18|Je peux te l expliquer plus simplement.
explique 18|D accord, je vais faire simple et direct.
resume 18|Voici l idee principale en quelques mots.
detaille 18|Je peux donner plus de contexte si tu veux.
donne un exemple 18|Oui, voici un exemple simple.
que faire 18|Commence par la premiere etape la plus facile.
c est difficile 18|Oui, mais on peut le decouper en petites etapes.
aide-moi 19|Bien sur, explique-moi ton probleme.
j ai besoin d aide 19|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 19|Pas grave, on va avancer ensemble.
je ne comprends pas 19|Je peux te l expliquer plus simplement.
explique 19|D accord, je vais faire simple et direct.
resume 19|Voici l idee principale en quelques mots.
detaille 19|Je peux donner plus de contexte si tu veux.
donne un exemple 19|Oui, voici un exemple simple.
que faire 19|Commence par la premiere etape la plus facile.
c est difficile 19|Oui, mais on peut le decouper en petites etapes.
aide-moi 20|Bien sur, explique-moi ton probleme.
j ai besoin d aide 20|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 20|Pas grave, on va avancer ensemble.
je ne comprends pas 20|Je peux te l expliquer plus simplement.
explique 20|D accord, je vais faire simple et direct.
resume 20|Voici l idee principale en quelques mots.
detaille 20|Je peux donner plus de contexte si tu veux.
donne un exemple 20|Oui, voici un exemple simple.
que faire 20|Commence par la premiere etape la plus facile.
c est difficile 20|Oui, mais on peut le decouper en petites etapes.
aide-moi 21|Bien sur, explique-moi ton probleme.
j ai besoin d aide 21|Je suis la, raconte-moi ce qu il se passe.
